jobId,title,generes
1,Marketing Technologist,Social Media|Marketing
2,SEO Consultant,Social Media|Marketing
3,Web Analytic Developer,Social Media|Marketing
4,Digital Marketing Manager,Social Media|Marketing
5,Social Media Manager,Social Media|Marketing
6,Growth Hacker,Social Media|Marketing
7,Content Manager,Content
8,Content Strategist,Content
9,Information Architect,Information
10,UX Designer,UserExpierence
11,UI Designer,UserExpierence
12,Accessibility Specialist,UserExpierence
13,Interaction Designer,UserExpierence
14,Front-End Designer,FrontendDevelpment
15,Front-End Developer,FrontendDevelpment
16,Mobile Developer,BackendDevelpment
17,Full-Stack Developer,BackendDevelpment
18,Software Developer,BackendDevelpment
19,WordPress Developer,BackendDevelpment
20,FrameWork Specialist,BackendDevelpment
21,Ruby On Rails Development,BackendDevelpment
22,Python Developer,BackendDevelpment
23,Java Developer,BackendDevelpment
24,C++ Developer,BackendDevelpment
25,Kotlin Developer,BackendDevelpment
26,Business System Analyst,System
27,System Engineer,System
28,System Administrator,System
29,Data Base Administrator,Data
30,Data Architect,Data
31,Data Modeler,Data
32,Data Analyst,Data
34,Data Scientist,Data
35,Data Engineer,Data
36,Cloud Architect,Data
37,Technical Lead,Management
38,Develops Manager,Management
39,Project Manager,Management
40,Agile Project Manager,Management
41,Product Manager,Management
42,Technical Account Manager,Management
43,Security Specialist,Specialist
44,QA(QualityAssurance)Specialist,Specialist
45,Game Developer,Specialist
46,Computer Graphic Animator,Specialist
47,Mobile App Developer,Specialist
48,Machine Learning Engineer,Specialist
49,Big Data Engineer,Specialist
50,Event/Meeting Planner,Management
52,Purchasing Manager,Management
53,Receptionist,Management
54,Secretary,Management
55,Market Research Analyst,Marketing
57,Advertising Sales Agent,Marketing
58,Editor,Advertising
59,Graphic Designer,UserExpierence
60,Interpreter and Translator,UserExpierence
61,Public Relations Specialist,Specialist
62,Social Media Manager,Social Media|Marketing
63,Writer and Editor,Content
64,Fashion Designer,Designing
65,Interior Designer,Designing
66,Photographer,Marketing
68,Chemist,Medication
69,Curator,Management
70,Guidance Counselor,Specialist
71,Hydrologist,Specialist
72,Librarian,Management
